                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.19491,                0.12687,                0.81983,                0.99362,                0.99687,                0.99329,                0.98339,                0.16449,                0.09711,                0.77871,               0.002278,               0.002278,               0.002278
                     80,                0.19484,                0.12639,                0.82055,                0.99382,                 0.9971,                0.99383,                0.98388,                0.16463,                0.09632,                0.77886,               0.002179,               0.002179,               0.002179
                     81,                0.19272,                0.12302,                0.81719,                0.99395,                0.99717,                0.99316,                 0.9831,                 0.1642,                0.09494,                0.77879,                0.00208,                0.00208,                0.00208
                     82,                0.19233,                0.12242,                0.81891,                0.99415,                0.99668,                0.99378,                 0.9832,                0.16418,                0.09483,                0.77847,               0.001981,               0.001981,               0.001981
                     83,                0.19262,                0.12309,                0.81861,                0.99402,                0.99696,                0.99373,                0.98387,                0.16401,                 0.0942,                0.77838,               0.001882,               0.001882,               0.001882
                     84,                0.19015,                0.12137,                0.81985,                0.99453,                0.99667,                0.99346,                0.98359,                0.16328,                0.09301,                0.77831,               0.001783,               0.001783,               0.001783
                     85,                0.19053,                0.12052,                0.81885,                0.99466,                0.99726,                0.99378,                0.98392,                0.16274,                0.09231,                0.77817,               0.001684,               0.001684,               0.001684
                     86,                 0.1881,                0.11874,                0.81826,                0.99478,                0.99726,                0.99384,                0.98376,                0.16227,                0.09261,                0.77811,               0.001585,               0.001585,               0.001585
                     87,                0.18778,                0.11822,                0.81919,                0.99496,                0.99721,                0.99382,                0.98388,                0.16162,                0.09256,                0.77805,               0.001486,               0.001486,               0.001486
                     88,                0.18577,                0.11694,                0.81793,                0.99499,                0.99797,                0.99395,                 0.9837,                0.16124,                0.09157,                0.77798,               0.001387,               0.001387,               0.001387
                     89,                0.18526,                0.11506,                0.81653,                0.99481,                0.99817,                0.99393,                 0.9842,                0.16085,                0.09094,                0.77793,               0.001288,               0.001288,               0.001288
                     90,                0.18485,                0.11498,                0.81736,                0.99482,                0.99817,                0.99377,                0.98381,                 0.1606,                0.09046,                0.77793,               0.001189,               0.001189,               0.001189
                     91,                0.17393,                0.10555,                 0.7982,                0.99481,                0.99817,                0.99374,                0.98413,                0.16051,                0.09052,                0.77789,                0.00109,                0.00109,                0.00109
                     92,                0.17153,                0.10338,                0.79519,                0.99482,                0.99817,                0.99367,                0.98378,                0.16054,                0.09045,                0.77789,               0.000991,               0.000991,               0.000991
                     93,                0.17077,                0.10257,                0.79642,                0.99486,                0.99817,                0.99362,                0.98378,                0.16034,                0.09017,                0.77773,               0.000892,               0.000892,               0.000892
                     94,                0.17009,                0.10099,                0.79736,                0.99489,                0.99813,                0.99383,                0.98401,                0.16027,                0.09001,                 0.7778,               0.000793,               0.000793,               0.000793
                     95,                0.16852,                0.09859,                0.79557,                0.99442,                0.99804,                0.99353,                0.98356,                0.16034,                0.09019,                0.77776,               0.000694,               0.000694,               0.000694
                     96,                0.16749,                0.09693,                0.79397,                0.99436,                0.99817,                0.99367,                0.98424,                0.15997,                0.09077,                0.77773,               0.000595,               0.000595,               0.000595
                     97,                0.16672,                0.09561,                0.79687,                0.99499,                0.99769,                0.99378,                0.98379,                0.15968,                0.09031,                0.77771,               0.000496,               0.000496,               0.000496
                     98,                0.16562,                0.09409,                 0.7957,                0.99531,                0.99769,                0.99391,                0.98453,                0.15961,                0.09056,                0.77765,               0.000397,               0.000397,               0.000397
                     99,                0.16452,                0.09255,                0.79518,                0.99524,                0.99817,                0.99375,                0.98423,                0.15947,                0.08975,                0.77763,               0.000298,               0.000298,               0.000298
                    100,                 0.1631,                0.09149,                0.79434,                0.99536,                0.99816,                0.99371,                0.98414,                0.15945,                0.08992,                0.77762,               0.000199,               0.000199,               0.000199
