                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.20993,                0.14404,                 0.8168,                0.99476,                0.99722,                0.99447,                0.98327,                0.16867,                0.10684,                0.72134,               0.002971,               0.002971,               0.002971
                     73,                 0.2068,                 0.1413,                0.81593,                0.99464,                0.99726,                0.99426,                0.98248,                0.16844,                0.10386,                 0.7192,               0.002872,               0.002872,               0.002872
                     74,                0.20714,                0.13988,                0.81583,                0.99424,                0.99726,                0.99462,                0.98332,                0.16814,                0.10291,                0.71535,               0.002773,               0.002773,               0.002773
                     75,                0.20593,                0.14015,                0.81519,                0.99444,                0.99634,                0.99455,                0.98313,                0.16793,                0.10368,                0.71547,               0.002674,               0.002674,               0.002674
                     76,                0.20568,                0.13926,                0.81374,                0.99443,                0.99636,                0.99466,                0.98368,                0.16818,                0.10223,                0.71556,               0.002575,               0.002575,               0.002575
                     77,                0.20341,                0.13729,                0.81464,                0.99538,                0.99701,                0.99463,                0.98406,                 0.1672,                0.10158,                0.71505,               0.002476,               0.002476,               0.002476
                     78,                0.20337,                0.13716,                0.81342,                 0.9952,                0.99644,                0.99471,                0.98344,                0.16686,                0.10182,                0.71357,               0.002377,               0.002377,               0.002377
                     79,                0.20102,                0.13633,                0.81297,                0.99505,                0.99641,                0.99458,                0.98335,                0.16671,                0.10237,                0.71259,               0.002278,               0.002278,               0.002278
                     80,                0.20134,                0.13612,                0.81457,                0.99472,                0.99634,                0.99453,                0.98286,                0.16676,                0.10616,                0.71213,               0.002179,               0.002179,               0.002179
                     81,                0.19873,                0.13205,                0.81242,                0.99476,                0.99668,                0.99445,                0.98329,                0.16571,                0.10308,                0.71199,                0.00208,                0.00208,                0.00208
                     82,                0.19836,                0.13249,                0.81309,                0.99447,                0.99724,                0.99442,                 0.9839,                0.16465,                0.10276,                0.71228,               0.001981,               0.001981,               0.001981
                     83,                0.19865,                0.13228,                0.81327,                 0.9949,                0.99714,                0.99429,                0.98351,                0.16436,                0.10145,                0.71243,               0.001882,               0.001882,               0.001882
                     84,                0.19547,                0.13035,                0.81394,                0.99491,                0.99709,                0.99437,                0.98356,                0.16424,                0.10168,                0.71293,               0.001783,               0.001783,               0.001783
                     85,                  0.196,                0.12912,                0.81409,                0.99517,                 0.9968,                0.99429,                 0.9834,                0.16373,                 0.1003,                0.71253,               0.001684,               0.001684,               0.001684
                     86,                0.19446,                0.12768,                0.81422,                0.99439,                0.99698,                0.99427,                0.98313,                0.16326,                0.09999,                0.71244,               0.001585,               0.001585,               0.001585
                     87,                0.19307,                0.12622,                0.81373,                0.99448,                0.99637,                0.99432,                 0.9831,                0.16316,                0.09852,                0.71269,               0.001486,               0.001486,               0.001486
                     88,                0.19145,                0.12534,                0.81307,                 0.9939,                0.99726,                0.99429,                0.98346,                0.16299,                0.09849,                0.71275,               0.001387,               0.001387,               0.001387
                     89,                0.19047,                0.12383,                0.81188,                0.99472,                0.99634,                0.99425,                 0.9838,                0.16283,                0.09737,                0.71282,               0.001288,               0.001288,               0.001288
                     90,                0.19022,                0.12325,                0.81167,                0.99481,                0.99619,                0.99421,                0.98355,                0.16241,                0.09707,                0.71264,               0.001189,               0.001189,               0.001189
                     91,                0.17822,                0.11036,                0.78716,                0.99432,                0.99715,                0.99418,                0.98367,                0.16234,                0.09672,                0.71247,                0.00109,                0.00109,                0.00109
                     92,                0.17646,                0.10829,                0.78637,                 0.9945,                 0.9968,                 0.9941,                0.98394,                0.16232,                0.09722,                0.71157,               0.000991,               0.000991,               0.000991
                     93,                0.17505,                0.10841,                0.78683,                0.99441,                0.99669,                0.99414,                0.98371,                0.16187,                 0.0963,                0.71144,               0.000892,               0.000892,               0.000892
                     94,                0.17365,                0.10743,                0.79167,                0.99449,                0.99714,                0.99405,                0.98392,                0.16185,                0.09555,                0.71082,               0.000793,               0.000793,               0.000793
                     95,                0.17207,                0.10553,                0.78801,                0.99453,                0.99708,                0.99408,                0.98434,                0.16166,                0.09643,                0.71037,               0.000694,               0.000694,               0.000694
                     96,                0.17063,                0.10244,                0.78739,                0.99526,                0.99634,                0.99405,                0.98428,                0.16161,                0.09713,                0.71051,               0.000595,               0.000595,               0.000595
                     97,                 0.1702,                0.10224,                0.78991,                0.99538,                0.99615,                0.99404,                0.98445,                0.16137,                0.09713,                0.71202,               0.000496,               0.000496,               0.000496
                     98,                0.16852,                0.10005,                0.78743,                0.99538,                0.99606,                0.99396,                0.98408,                 0.1614,                0.09732,                0.71244,               0.000397,               0.000397,               0.000397
                     99,                 0.1675,                0.09862,                0.78774,                0.99519,                0.99589,                0.99394,                0.98393,                0.16115,                0.09687,                 0.7122,               0.000298,               0.000298,               0.000298
                    100,                0.16591,                0.09739,                0.78586,                0.99492,                0.99589,                0.99388,                0.98361,                0.16109,                  0.096,                0.71207,               0.000199,               0.000199,               0.000199
